corpus,m,ef_construction,ef_search,k,base_count,query_count,dim,build_time_seconds,recall_at_1,recall_at_10,recall_at_100,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us,latency_samples
Sift,8,100,50,100,1000000,10000,128,467.818272,0.852300,0.847700,0.767814,526.570,529.700,636.000,692.700,117.600,100690.800,10000
Sift,8,100,100,100,1000000,10000,128,467.818272,0.852300,0.847700,0.767814,520.303,533.900,643.000,702.400,137.700,986.600,10000
Sift,8,100,200,100,1000000,10000,128,467.818272,0.884800,0.885880,0.841650,903.618,933.200,1117.500,1205.400,230.000,1913.300,10000
Sift,8,100,400,100,1000000,10000,128,467.818272,0.901300,0.906910,0.885151,1622.603,1657.300,2066.200,2223.700,396.700,3078.900,10000
Sift,8,200,50,100,1000000,10000,128,882.247849,0.871200,0.863850,0.786401,542.824,555.400,670.100,733.700,153.700,1376.100,10000
Sift,8,200,100,100,1000000,10000,128,882.247849,0.871200,0.863850,0.786401,541.931,554.400,670.800,738.700,151.400,1367.900,10000
Sift,8,200,200,100,1000000,10000,128,882.247849,0.897400,0.899150,0.858171,947.337,979.600,1172.800,1269.400,261.500,1724.500,10000
Sift,8,200,400,100,1000000,10000,128,882.247849,0.910100,0.916720,0.897269,1688.741,1721.600,2143.500,2276.500,414.800,3206.200,10000
Sift,8,400,50,100,1000000,10000,128,1626.186448,0.877900,0.871030,0.796151,540.649,553.500,666.500,730.500,141.400,1168.900,10000
Sift,8,400,100,100,1000000,10000,128,1626.186448,0.877900,0.871030,0.796151,537.616,550.600,656.900,726.600,141.500,1027.300,10000
Sift,8,400,200,100,1000000,10000,128,1626.186448,0.901000,0.904280,0.866740,988.183,1028.100,1221.800,1290.700,259.100,1883.300,10000
Sift,8,400,400,100,1000000,10000,128,1626.186448,0.916500,0.920870,0.904413,1777.730,1813.600,2244.600,2398.200,469.100,3184.600,10000
Sift,8,800,50,100,1000000,10000,128,3020.411542,0.879100,0.875030,0.799330,568.881,576.100,711.400,811.600,150.100,1898.100,10000
Sift,8,800,100,100,1000000,10000,128,3020.411542,0.879100,0.875030,0.799330,562.367,572.100,690.700,770.600,136.300,1801.800,10000
Sift,8,800,200,100,1000000,10000,128,3020.411542,0.906000,0.907180,0.869944,1114.431,1177.200,1397.200,1517.200,291.900,2060.100,10000
Sift,8,800,400,100,1000000,10000,128,3020.411542,0.916900,0.923070,0.907301,1974.828,2054.500,2485.500,2639.400,617.000,3325.700,10000
Sift,16,100,50,100,1000000,10000,128,648.985045,0.949500,0.948060,0.891688,781.573,787.000,1024.400,1099.300,152.300,1552.600,10000
Sift,16,100,100,100,1000000,10000,128,648.985045,0.949500,0.948060,0.891688,777.578,781.600,1014.100,1084.600,151.300,1856.600,10000
Sift,16,100,200,100,1000000,10000,128,648.985045,0.959400,0.965540,0.942873,1346.258,1391.600,1752.000,1871.000,282.900,2539.900,10000
Sift,16,100,400,100,1000000,10000,128,648.985045,0.965400,0.973530,0.965013,2328.618,2392.600,3027.500,3298.300,537.200,4156.200,10000
Sift,16,200,50,100,1000000,10000,128,1256.731767,0.956500,0.958400,0.911826,842.115,892.700,1076.200,1150.400,170.900,2299.000,10000
Sift,16,200,100,100,1000000,10000,128,1256.731767,0.956500,0.958400,0.911826,846.614,897.900,1081.400,1168.000,168.800,1880.100,10000
Sift,16,200,200,100,1000000,10000,128,1256.731767,0.965300,0.971110,0.954206,1482.619,1512.400,1931.900,2087.200,314.600,3768.300,10000
Sift,16,200,400,100,1000000,10000,128,1256.731767,0.968600,0.976820,0.970563,2534.272,2573.400,3424.300,3675.300,612.300,4571.800,10000
